round,method,num_clients,participation_rate,train_loss,test_accuracy,test_loss,communication_time,encryption_time,enc_time,partial_decryption_time,par_dec_time,combine_decryption_time,com_dec_time,total_crypto_time,secure_pack_size,slot_bits,packing_value_bits,padding_bits,packing_overflow,num_model_params,num_ciphertexts,compression_ratio,max_abs_error,pack_block_count,pack_avg_size,pack_max_base,pack_max_qmax,pack_skipped_zero_blocks,round_total_time,total_training_time
1,fedavg_ddfed,20,0.2,1.2996207354175056,0.1361,2.318457702162919,10.107766389846802,48.872854232788086,48.872854232788086,159.80979084968567,159.80979084968567,15.981735944747925,15.981735944747925,224.66438102722168,32,51,32,3,False,317706,635412,2.0,4.82611358165741e-06,158853,2.0,0,0,0,244.56824660301208,1209.7100672721863
2,fedavg_ddfed,20,0.2,0.45398803905340707,0.8983,0.33753659863285956,9.637251138687134,46.37332034111023,46.37332034111023,161.15158534049988,161.15158534049988,16.04349708557129,16.04349708557129,223.5684027671814,32,51,32,3,False,317706,635412,2.0,4.945555701851845e-06,158853,2.0,0,0,0,243.04377627372742,1209.7100672721863
3,fedavg_ddfed,20,0.2,0.24171440269513306,0.9432,0.18105498689470018,9.781018018722534,48.18822765350342,48.18822765350342,156.0346643924713,156.0346643924713,16.00208878517151,16.00208878517151,220.22498083114624,32,51,32,3,False,317706,635412,2.0,4.984787665307522e-06,158853,2.0,0,0,0,239.93517065048218,1209.7100672721863
4,fedavg_ddfed,20,0.2,0.23867476530740883,0.9571,0.13579375739950852,9.741555452346802,47.787639141082764,47.787639141082764,159.2341010570526,159.2341010570526,15.940199851989746,15.940199851989746,222.96194005012512,32,51,32,3,False,317706,635412,2.0,4.990259185433388e-06,158853,2.0,0,0,0,242.5372772216797,1209.7100672721863
5,fedavg_ddfed,20,0.2,0.15888240240413437,0.9636,0.11309172339428952,9.697388887405396,47.06926608085632,47.06926608085632,156.8828272819519,156.8828272819519,16.027595281600952,16.027595281600952,219.97968864440918,32,51,32,3,False,317706,635412,2.0,4.963250830769539e-06,158853,2.0,0,0,0,239.62539958953857,1209.7100672721863
