round,epoch,method,active_clients,dropped_clients,active_decryptors,dropped_decryptors,label,aggregation_success,failure_reason,replay_attack_enabled,replay_attack_type,replay_detected,max_abs_error,train_loss,test_loss,test_accuracy,enc_time,dk_generate_time,par_dec_time,share_decrypt_time,com_dec_time,combine_decrypt_time,total_crypto_time,secure_pack_size,slot_bits,packing_value_bits,padding_bits,packing_overflow,num_model_params,num_ciphertexts,compression_ratio,pack_block_count,pack_avg_size,pack_max_base,pack_max_qmax,pack_skipped_zero_blocks,round_time
1,1,fedavg_tmcfe,"['f_00001', 'f_00008', 'f_00012', 'f_00013']",[],"[1, 2, 3, 4, 5]",[],2243c4236bef3b9a575961a7177b4086e8feaaac297ce6aa09c5e33f68ca1317,False,离散对数求解失败,False,,False,,33.96386500718487,2.3393523465296266,0.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.27810525894165
2,1,fedavg_tmcfe,"['f_00009', 'f_00012', 'f_00015', 'f_00016']",[],"[1, 2, 3, 4, 5]",[],180c0e1bf5f07256724c01dd4a88558ef9a7f8a4d4f195524befb00224d0800c,False,离散对数求解失败,False,,False,,3.9430578130825307,2.3393523465296266,0.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.675985097885132
3,1,fedavg_tmcfe,"['f_00006', 'f_00011', 'f_00015', 'f_00016']",[],"[1, 2, 3, 4, 5]",[],94c057f78cc6de7748321dc5602f8b92e407258271a8c188175fe75897686158,False,离散对数求解失败,False,,False,,2.9562708367208006,2.3393523465296266,0.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,32,0,False,0,0,1.0,0,1.0,0,0,0,11.75276255607605
4,1,fedavg_tmcfe,"['f_00003', 'f_00004', 'f_00009', 'f_00019']",[],"[1, 2, 3, 4, 5]",[],b8d3fe4f053903f248ca4cb4fc12e9480eaa3909dc61941a3b2fa02ad7fb5670,False,离散对数求解失败,False,,False,,12.153519124741766,2.3393523465296266,0.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,32,0,False,0,0,1.0,0,1.0,0,0,0,12.056971311569214
5,1,fedavg_tmcfe,"['f_00004', 'f_00008', 'f_00017', 'f_00019']",[],"[1, 2, 3, 4, 5]",[],a908960bfaa678fb294cce4a06fdde500428edc9deeb0d974fb3bd7c11f2e848,False,离散对数求解失败,False,,False,,15.803468913789008,2.3393523465296266,0.0975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,32,0,False,0,0,1.0,0,1.0,0,0,0,13.067849397659302
