round,phase,test_acc,test_loss,forget_acc,forget_loss,remain_acc,remain_loss
0,pretrain,0.7238,0.736236,0,0,0,0
1,pretrain,0.8401,0.453062,0,0,0,0
2,pretrain,0.8445,0.434623,0,0,0,0
3,pretrain,0.834,0.466182,0,0,0,0
4,pretrain,0.8638,0.387486,0,0,0,0
5,pretrain,0.8712,0.365756,0,0,0,0
6,pretrain,0.871,0.352567,0,0,0,0
7,pretrain,0.8738,0.360499,0,0,0,0
8,pretrain,0.8808,0.335079,0,0,0,0
9,pretrain,0.8795,0.329662,0,0,0,0
10,pretrain,0.8386,0.478333,0,0,0,0
11,pretrain,0.8893,0.31574,0,0,0,0
12,pretrain,0.8644,0.399637,0,0,0,0
13,pretrain,0.8906,0.302125,0,0,0,0
14,pretrain,0.8914,0.303068,0,0,0,0
15,pretrain,0.896,0.295785,0,0,0,0
16,pretrain,0.883,0.319261,0,0,0,0
17,pretrain,0.8966,0.289148,0,0,0,0
18,pretrain,0.8906,0.298219,0,0,0,0
19,pretrain,0.89,0.299129,0,0,0,0
20,pretrain,0.8908,0.293436,0,0,0,0
21,pretrain,0.8856,0.334273,0,0,0,0
22,pretrain,0.8938,0.301167,0,0,0,0
23,pretrain,0.9002,0.283773,0,0,0,0
24,pretrain,0.9022,0.273023,0,0,0,0
25,pretrain,0.8854,0.322378,0,0,0,0
26,pretrain,0.9027,0.27611,0,0,0,0
27,pretrain,0.8939,0.296457,0,0,0,0
28,pretrain,0.9,0.280648,0,0,0,0
29,pretrain,0.8618,0.368669,0,0,0,0
30,fedsga,0.8618,0.373731,0.878075,0.339342,0.873087,0.312938
31,fedsga,0.8399,0.45636,0.846961,0.423479,0.846939,0.404863
32,fedsga,0.8035,0.685798,0.806802,0.665057,0.808355,0.652557
33,fedsga,0.7283,1.235257,0.726845,1.241189,0.744898,1.209099
34,fedsga,0.7194,1.400364,0.717077,1.420069,0.732462,1.403503
35,fedsga,0.7228,1.335533,0.726845,1.351825,0.736607,1.32775
36,fedsga,0.7095,1.413768,0.714906,1.434322,0.728635,1.400425
37,fedsga,0.7147,1.37851,0.713459,1.39802,0.72449,1.360918
38,fedsga,0.7107,1.47305,0.712735,1.500259,0.722895,1.449873
39,fedsga,0.7604,1.151937,0.762301,1.171822,0.76977,1.136001
40,fedsga,0.7494,1.216682,0.75,1.24123,0.762755,1.200281
41,fedsga,0.7645,1.176555,0.763025,1.197133,0.775829,1.147008
42,fedsga,0.7281,1.412603,0.726845,1.452038,0.743941,1.40305
43,fedsga,0.7533,1.294376,0.751447,1.334339,0.765306,1.265031
44,fedsga,0.7435,1.278164,0.744211,1.310674,0.756059,1.249738
45,fedsga,0.7531,1.210785,0.752533,1.253325,0.763712,1.180753
46,fedsga,0.7369,1.390293,0.740232,1.436754,0.754145,1.376124
47,fedsga,0.7158,1.45258,0.714182,1.500198,0.730867,1.433371
48,fedsga,0.7333,1.396129,0.740232,1.442906,0.750319,1.381651
49,fedsga,0.7418,1.39136,0.741317,1.443121,0.754145,1.391089
